.cn	I2
001a型航空母舰	I5
10月（月份）	I9
12世纪	I13
12月（韩国二人男子组合）	I15
14世纪	I16
15岁	I17
16世纪	I18
17世纪	I19
1844年经济学哲学手稿	I20
18世纪	I21
19世纪（历史年代）	I24
2008年北京奥运会中国体育代表团	I27
2012（美国2009年罗兰·艾默里奇执导灾难电影）	I29
20世纪	I32
211工程	I34
3月	I43
3月14日	I45
58同城	I51
6年	I59
7月（月份）	I63
a'n'd	I70
abc（童装童鞋品牌）	I71
acm（国际计算机学会）	I73
amd（美国超微半导体公司(advanced	I81
android（google公司开发的操作系统）	I82
anti（娱乐圈现象）	I83
api（应用程序编程接口）	I84
arm架构	I85
as	I87
ascii	I88
at（军事用语）	I91
basic语言	I97
bc（公元前）	I99
beats耳机	I100
blob	I103
board	I105
bob（法国百年彩妆品牌）	I106
bsd	I109
bug（漏洞）	I110
bug（词语释义）	I112
cas登录号	I113
cba（拥堵收费的典型模型）	I115
ccd（电荷耦合元件）	I116
cctv舞蹈大赛	I117
clang	I120
clannad（日本key公司发行的恋爱冒险游戏）	I121
cpsr	I129
cs（企业品牌商标）	I133
c程序	I134
c语言	I135
c语言编译器	I136
dj（唱片骑师）	I145
dvd	I150
edf	I154
emacs	I157
facebook	I162
fate/prototype	I164
feynman（香港影帝吴镇宇之子）	I166
firefox	I167
flickr	I168
fortran	I169
freebsd	I172
ftp服务器	I174
ftp（内部资金转移定价funds	I175
g20峰会	I177
gcc（gnu编译器套件）	I180
gdb	I181
geo（单词前缀）	I183
gnu	I187
gnu/linux	I188
gnu宣言	I189
gnu宽通用公共许可证	I190
gnu计划	I191
gnu通用公共许可协议	I192
google	I194
google	I195
google	I196
gpl（通用公共许可证）	I199
grid	I200
gui	I201
hr（人力资源）	I205
http	I207
https	I208
i/o（计算机接口）	I209
ibm（it公司-国际商业机器公司）	I210
instagram（社交应用）	I214
inter	I217
ip（网络之间互连的协议）	I222
isoc	I224
is（英语单词）	I226
java（意大利自行车品牌）	I228
java（计算机编程语言）	I229
jdbc	I230
line（通讯软件）	I241
linux	I243
linux	I244
linux内核	I245
linux基金会	I246
lisp语言	I248
lsb	I250
maemo	I257
muse（英国摇滚乐队）	I277
mvc框架	I278
mv（linux命令）	I279
mv（音乐短片）	I280
m理论（物理理论）	I282
nh（全日空航空公司）	I287
novell	I289
np（未解难题）	I290
np（生态学定义）	I291
nvidia	I296
on	I297
openbsd	I299
php（超文本预处理器）	I316
playstation	I318
playstation	I319
poh	I321
prototype（单机游戏）	I323
ps2	I324
python（计算机程序设计语言）	I327
red	I329
regard	I330
revolution（法国品牌）	I334
rfc（一系列以编号排定的文件）	I335
rms	I337
self语言	I344
smalltalk	I349
social	I350
special（烟台拓森服装有限公司旗下知名时尚女装品牌）	I351
stage（品牌）	I354
sun	I356
suse（opensuse）	I357
teach	I362
thanwa	I367
theater	I368
the（1968年的系统名称）	I369
title（计算机语言）	I371
tmt（数字新媒体产业）	I373
twitter	I376
t淋巴细胞	I377
union（共用声明和共用一变量定义）	I385
unix	I386
url	I387
various	I388
webos	I393
windows操作系统	I408
www（万维网缩写）	I410
x	I411
xbox（微软推出的游戏机）	I413
x射线	I417
x射线天文卫星	I418
youtube	I419
{}	I420
γ射线	I421
《行星》组曲	I423
一个中国	I426
一个男人和一个女人	I431
一事无成（1988年美国电影）	I436
一元论	I438
一句话（爱国主义诗人闻一多作品）	I443
一带一路（国家级顶层合作倡议）	I448
一年级（湖南卫视校园纪实节目）	I449
一神教	I453
一线城市	I457
一般均衡理论	I458
一般贸易	I459
丁香医生	I468
七七事变（中华民族全面抗战的起点）	I469
七千人大会	I472
七大	I475
万有引力定律	I495
万有理论（自然的四种根本力成一体的理论）	I496
万维网联盟	I499
三个世界	I506
三亚	I509
三人行（2015年杜琪峯执导警匪电影）	I515
三体问题（天体力学中的基本力学模型）	I517
三体（刘慈欣著科幻小说）	I518
三体（天体力学名词）	I519
三国志（二十四史之一）	I531
三国（中国东汉与西晋之间的历史时期）	I533
三大战役（人民解放战争三大战役）	I536
三峡大学	I540
三权分立	I550
三段论推理	I557
三沙（海南省地级市）	I561
三湾改编	I564
三皇五帝（历史与神话中的三皇五帝）	I567
三维空间	I576
上书房（清朝皇子皇孙读书的地方）	I585
上合组织峰会	I589
上呼吸道感染	I590
上士（上士军衔）	I592
上将（上将军衔）	I595
上帝之城（欧美2002年费尔南多·梅里尔斯导演电影）	I598
上杉谦信（海音寺潮五郎著作的时代小说）	I602
上海中心大厦	I616
上海交通大学	I621
上海合作组织	I640
上海地铁	I648
上海浦东国际机场	I685
上海港	I686
上海环球金融中心	I690
上海（中华人民共和国直辖市）	I733
上诉法院	I738
上都回回药物院	I741
不一样的本能	I751
不丹	I752
不会分离（光良2007年发行的专辑）	I753
不列颠百科全书	I755
不可知论	I756
不存在的	I758
不完全竞争	I759
不懂（林俊杰演唱歌曲）	I762
不治已病治未病	I765
不知名	I766
不确定性	I767
不结盟运动	I768
不规则星系	I769
与朱元思书	I773
丑闻（2003年李在容执导韩国电影）	I774
专业人员	I775
专业人士	I776
专业化	I777
专利权	I779
专家委员会	I783
专家（在学术、技艺等方面有专门研究或特长的人）	I784
专有名词	I785
专用小交换机	I788
专科	I790
世俗化	I793
世界之最（世界纪录）	I801
世界人口	I804
世界历史（历史学分支学科）	I810
世界历史（金城执导纪录片）	I811
世界各国	I813
世界时	I822
世界洋流	I826
世界贸易组织	I835
世界遗产名录	I837
世界遗产（有突出意义和普遍价值的文物古迹及自然景观）	I838
世界银行	I839
世界音乐	I840
世界（2010上海世博会志愿者主题歌）	I841
世界（我们的世界充满爱）	I842
丙螨氰	I848
业余天文学	I849
业余天文学家	I850
东亚	I857
东亚峰会	I858
东北亚	I867
东北地区	I869
东医宝鉴	I880
东半球	I881
东南亚（世界地理概念）	I883
东吴大学法学院	I884
东吴大学（台湾著名私立综合性大学）	I885
东巴教	I897
东方医学	I899
东方哲学	I901
东方明珠广播电视塔	I903
东方红一号卫星	I907
东汉末年	I923
东洋界	I926
东海（中华人民共和国管辖海域）	I928
东海（日本爱知县东海市）	I929
东突厥斯坦伊斯兰运动	I932
东部季风区	I936
丝绸之路经济带（国家新的经济发展区域）	I940
两弹一星	I954
两栖攻击舰	I959
两汉经学	I961
严格执法	I968
严范孙	I969
个人	I971
个人与社会	I972
个人中心治疗	I973
个人自由	I975
个人计算机	I977
个体心理	I979
个体消费者	I980
中世纪	I982
中东	I983
中亚	I987
中俄关系	I992
