	Q1
- -	Q2
.cn	Q3
.com	Q4
.net	Q5
001a型航空母舰	Q6
007：大破天幕杀机（007系列电影）	Q7
10·1香港南丫岛榕树湾撞船事故	Q8
10月9日	Q9
10月（月份）	Q10
110米栏	Q11
11区	Q12
11月4日	Q13
12世纪	Q14
12年	Q15
12月（韩国二人男子组合）	Q16
14世纪	Q17
15岁	Q18
16世纪	Q19
17世纪	Q20
1844年经济学哲学手稿	Q21
18世纪	Q22
1949年太平轮事件	Q23
1992年巴塞罗那奥运会	Q24
19世纪（历史年代）	Q25
1年	Q26
2008年北京奥运会	Q27
2008年北京奥运会中国体育代表团	Q28
2010年广州亚运会	Q29
2012（美国2009年罗兰·艾默里奇执导灾难电影）	Q30
2016年里约热内卢奥运会	Q31
2022年北京冬季奥运会	Q32
20世纪	Q33
20国集团	Q34
211工程	Q35
24小时（西班牙鞋品牌）	Q36
2号	Q37
2月17日	Q38
318国道	Q39
35亿	Q40
386	Q41
3·18台湾部分团体和学生“反服贸抗争”事件	Q42
3时	Q43
3月	Q44
3月12日	Q45
3月14日	Q46
4·14玉树地震	Q47
4号	Q48
4月（月份）	Q49
500米口径球面射电望远镜	Q50
54年	Q51
58同城	Q52
5g	Q53
5g网络	Q54
5·12汶川地震	Q55
5号	Q56
5月24日	Q57
64位	Q58
69（女鞋品牌）	Q59
6年	Q60
731部队（侵华日军第731防疫给水部队）	Q61
7月31日	Q62
7月6日	Q63
7月（月份）	Q64
8月24日	Q65
985工程	Q66
9·11事件	Q67
9月10日	Q68
9月28日	Q69
9月3日	Q70
a'n'd	Q71
abc（童装童鞋品牌）	Q72
about	Q73
acm（国际计算机学会）	Q74
activex	Q75
adobe flash player	Q76
adobe indesign	Q77
adobe photoshop	Q78
aix	Q79
alfred（安卓软件）	Q80
alvaro soler	Q81
amd（美国超微半导体公司(advanced micro devices)）	Q82
android（google公司开发的操作系统）	Q83
anti（娱乐圈现象）	Q84
api（应用程序编程接口）	Q85
arm架构	Q86
arpa（美国国防部高级研究计划署的缩写）	Q87
as if	Q88
ascii	Q89
asec	Q90
atp（一个真正的爱国者）	Q91
at（军事用语）	Q92
at（变速器）	Q93
at（汽车名词）	Q94
autodesk maya	Q95
bar（压强单位）	Q96
bash	Q97
basic语言	Q98
basic（初学者通用符号指令代码）	Q99
bc（公元前）	Q100
