.cn	Q2
.com	Q3
.net	Q4
001a型航空母舰	Q5
007：大破天幕杀机（007系列电影）	Q6
10月（月份）	Q9
12世纪	Q13
14世纪	Q16
15岁	Q17
16世纪	Q18
17世纪	Q19
1844年经济学哲学手稿	Q20
18世纪	Q21
19世纪（历史年代）	Q24
2008年北京奥运会	Q26
2008年北京奥运会中国体育代表团	Q27
2012（美国2009年罗兰·艾默里奇执导灾难电影）	Q29
2022年北京冬季奥运会	Q31
20世纪	Q32
211工程	Q34
386	Q40
3·18台湾部分团体和学生“反服贸抗争”事件	Q41
3月	Q43
3月14日	Q45
58同城	Q51
5g网络	Q53
6年	Q59
7月（月份）	Q63
8月24日	Q64
985工程	Q65
9月3日	Q69
a'n'd	Q70
about	Q72
adobe	Q75
adobe	Q76
adobe	Q77
amd（美国超微半导体公司(advanced	Q81
android（google公司开发的操作系统）	Q82
anti（娱乐圈现象）	Q83
api（应用程序编程接口）	Q84
arpa（美国国防部高级研究计划署的缩写）	Q86
as	Q87
ascii	Q88
autodesk	Q94
bc（公元前）	Q99
beats耳机	Q100
bebe	Q101
blob	Q103
bl（boys'	Q104
board	Q105
bsd	Q109
bug（词语释义）	Q112
cas登录号	Q113
ccd（电荷耦合元件）	Q116
cctv舞蹈大赛	Q117
cd-rom	Q118
centos	Q119
clang	Q120
clannad（日本key公司发行的恋爱冒险游戏）	Q121
club（俱乐部统称）	Q123
coding	Q125
com（com	Q127
cpsr	Q129
crossover（2002年张国荣黄耀明合作专辑）	Q132
cs（企业品牌商标）	Q133
c程序	Q134
c语言	Q135
c语言编译器	Q136
damn	Q137
debian	Q139
debug	Q140
dec	Q141
deepmind	Q142
di	Q143
directx	Q144
dj（唱片骑师）	Q145
dota（魔兽争霸ⅲ的dota）	Q147
dvd	Q150
emacs	Q157
ext	Q160
facebook	Q162
fate/prototype	Q164
feynman（香港影帝吴镇宇之子）	Q166
firefox	Q167
fortran	Q169
freak（meg单曲）	Q170
free!	Q171
freebsd	Q172
ftp服务器	Q174
ftp（内部资金转移定价funds	Q175
gcc（gnu编译器套件）	Q180
gdb	Q181
geo（单词前缀）	Q183
gnome	Q186
gnu	Q187
gnu/linux	Q188
gnu宣言	Q189
gnu计划	Q191
gnu通用公共许可协议	Q192
google	Q194
google	Q195
google	Q196
gpl（通用公共许可证）	Q199
grid	Q200
gui	Q201
h7n9型禽流感	Q202
he（哈尔滨电气集团公司）	Q203
high	Q204
html	Q206
http	Q207
https	Q208
i/o（计算机接口）	Q209
ibm（it公司-国际商业机器公司）	Q210
instagram（社交应用）	Q214
intel	Q215
inter	Q217
internet	Q218
ios（思科研发操作系统）	Q219
ios（苹果公司的移动操作系统）	Q220
ipc（桌面云产品）	Q221
ip（网络之间互连的协议）	Q222
isoc	Q224
is（英语单词）	Q226
java（意大利自行车品牌）	Q228
java（计算机编程语言）	Q229
jdbc	Q230
kde	Q233
lek	Q239
line（通讯软件）	Q241
linkin	Q242
linux	Q243
linux	Q244
linux内核	Q245
linux基金会	Q246
lisa	Q247
lisp语言	Q248
lsb	Q250
mac	Q252
mac	Q253
mac地址	Q254
mac（彩妆品牌）	Q255
maemo	Q257
maple（工程计算软件）	Q258
matlab	Q259
me,myself,and	Q260
meego	Q262
microsoft	Q265
microsoft	Q266
microsoft	Q267
moba	Q271
mozilla	Q272
mozilla	Q273
muse（英国摇滚乐队）	Q277
mvc框架	Q278
mv（linux命令）	Q279
mv（音乐短片）	Q280
m理论（物理理论）	Q282
nh（全日空航空公司）	Q287
novell	Q289
np（未解难题）	Q290
np（生态学定义）	Q291
ntfs	Q293
nvidia	Q296
on	Q297
online（网络用语）	Q298
openbsd	Q299
opera浏览器	Q304
oppo（中国手机品牌）	Q305
osi模型	Q306
palm	Q308
palm	Q309
pdf	Q314
php（超文本预处理器）	Q316
playstation	Q318
playstation	Q319
poh	Q321
prototype（单机游戏）	Q323
ps2	Q324
python（计算机程序设计语言）	Q327
qq空间	Q328
red	Q329
regard	Q330
reloaded（鹿晗首张个人专辑）	Q332
revisions	Q333
revolution（法国品牌）	Q334
rfc（一系列以编号排定的文件）	Q335
rms	Q337
s1（日本的av制作公司）	Q339
sars事件	Q341
self语言	Q344
single（杨千嬅演唱专辑）	Q346
siri（苹果智能语音助手）	Q347
skype	Q348
smalltalk	Q349
social	Q350
special（烟台拓森服装有限公司旗下知名时尚女装品牌）	Q351
stage（品牌）	Q354
sun	Q356
taetiseo	Q358
tcl（tcl集团股份有限公司）	Q360
tcp/ip协议	Q361
teach	Q362
telnet	Q363
thanwa	Q367
theater	Q368
the（1968年的系统名称）	Q369
title（计算机语言）	Q371
tizen	Q372
tmt（数字新媒体产业）	Q373
tvbs新闻台	Q375
twitter	Q376
t淋巴细胞	Q377
ubuntu	Q378
udp	Q380
ui	Q382
ultra	Q383
under	Q384
union（共用声明和共用一变量定义）	Q385
unix	Q386
url	Q387
various	Q388
vivo（品牌）	Q389
vocalist（德永英明个人专辑）	Q390
vxworks	Q391
web	Q392
webos	Q393
wiki（多人协作的写作系统）	Q396
win32	Q397
windows	Q398
windows	Q399
windows	Q400
windows	Q401
windows	Q402
windows	Q403
windows	Q404
windows	Q405
windows	Q406
windows	Q407
windows操作系统	Q408
www（万维网缩写）	Q410
x	Q411
x86架构	Q412
xbox（微软推出的游戏机）	Q413
x射线	Q417
x射线天文卫星	Q418
youtube	Q419
{}	Q420
γ射线	Q421
“批林批孔”运动	Q422
《行星》组曲	Q423
つぐない	Q424
一·二八事变	Q425
一个中国	Q426
一个人的（本兮音乐专辑）	Q429
一个男人和一个女人	Q431
一事无成（1988年美国电影）	Q436
一人之下（米二创作的网络漫画）	Q437
一元论	Q438
一句话（爱国主义诗人闻一多作品）	Q443
一国两制（中国政府提出的和平统一基本国策）	Q445
一大二公	Q446
一字型	Q447
一带一路（国家级顶层合作倡议）	Q448
一年级（湖南卫视校园纪实节目）	Q449
一神教	Q453
一神论	Q454
一线城市	Q457
一般均衡理论	Q458
一般贸易	Q459
丁玲（中国现代女作家）	Q466
七七事变（中华民族全面抗战的起点）	Q469
七千人大会	Q472
七夕节	Q474
七大	Q475
七宝古镇	Q478
七年级	Q479
七总裁	Q480
七曜（术语）	Q482
七磅	Q485
七闽	Q486
万事达卡	Q487
万州区	Q494
万有引力定律	Q495
万有理论（自然的四种根本力成一体的理论）	Q496
万毅（中国人民解放军中将）	Q497
万维网联盟	Q499
万隆（印度尼西亚城市）	Q503
三个世界	Q506
三个代表重要思想	Q507
三个和尚	Q508
三亚	Q509
三亚凤凰国际机场	Q510
三亚湾度假区	Q512
三产	Q513
三人行（2015年杜琪峯执导警匪电影）	Q515
三从四德	Q516
三体问题（天体力学中的基本力学模型）	Q517
三体（刘慈欣著科幻小说）	Q518
三体（天体力学名词）	Q519
三光政策	Q520
三分天下（三国时期战略形势）	Q523
三十年战争	Q526
三合院	Q530
三国志（二十四史之一）	Q531
三国时代（网页游戏）	Q532
三国（中国东汉与西晋之间的历史时期）	Q533
三坊七巷（黄健中执导电视剧）	Q534
三大战役（人民解放战争三大战役）	Q536
三大茶市	Q537
三季稻（著名魔兽世界玩家）	Q538
三家分晋	Q539
三峡大学	Q540
三教合一	Q544
三文鱼	Q545
三明（福建省地级市）	Q546
三木刚	Q548
三权分立	Q550
